Site name,Country,State/Region,Latitude,Longitude,Profile name,Thickness range,Mean thickness (cm),LLST,MLST,MLST-A,MLST-B,MLST-C,MLST-C1,MLST-C2,MLST-C3,ULST,Various,Phase uncertainty,Distance from vent (km),Altitude (m),Depth of tephra layer (cm),Fan direction...23,Fan direction...24,Associated archaeology,Primary,Secondary,Reworked,Fall,Fluvial,XRF,Heavy minerals,Trace elements,Grain size distribution,Shard morphology,Comments,Reference1,Reference2,Reference3,Reference4,Reference5,Reference6,Update,Regional co-ordinates...62,Regional co-ordinates...63,unique_id
Ninglinspo Valley,Belgium,Liege,50.446979,5.739963,Sections 4 & 6,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Rixhon, Gilles, and Etienne H. Juvigné. “Periglacial Deposits and Correlated Processes in the Ninlinspo Valley (Ardenne Massif, Belgium).” Geologica Belgica 13, no. 1–2 (2010): 49–60.",NA,NA,NA,NA,NA,NA,NA,NA,11
Kanne,Belgium,Limburg,50.801556,5.681038,Profil IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5960,W,1,"Middle Palaeolithic, Magdalenian and later",NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"Mejs, Erik P. M. “Loess Stratigraphy in Dutch and Belgian Limburg.” Eiszeitlater Und Gegenwart 51 (2002): 114–30.","Paulissen, Etienne, F. Gullentorps, Pierre M. Vermeersch, M.-A. Geurts, E. Gilot, Wim Van Neer, E. Van Vooren, and E. Wagemans. “Evolution Holocene d’un Flanc de Vallee Sur Substrat Permeable (Hesbaye Seche, Belgique).” Mémoires de l’ Institut Géologique de l’Université de Louvain XXXI (1981): 23–75.","Vermeersch, Pierre M. “Een Jongpaleolithische Nederzetting Te Kanne.” Archaeologia Belgica 213 (1979): 12–16.","Vermeersch, Pierre M. “Jong-Paleolithicum Te Kanne En Te Orp.” Notae Praehistoricae 1 (1981): 13–15.",NA,NA,NA,NA,NA,12
Grotte d'Eprave,Belgium,Namur,50.141593,5.176438,Layers P1-P4,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Juvigné, Etienne H., and Michel Gewelt. “Téphra et Dépôts de Grottes: Intérêt Stratigraphique Réciproque.” Annales de La Société Géologique de Belgique 111, no. 1 (1988): 135–40.",NA,NA,NA,NA,NA,NA,NA,NA,13
Grotte du Coléoptère,Belgium,Province de Luxembourg,50.370556,5.536389,"in E5 (Dewez 1975, Fig.II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,W,3,"Federmessergruppen below, Ahrensburgian above",1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.","Dewez, M. C. “Nouvelles Recherches à La Grotte Du Coléoptère à Bomal-Sur-Ourthe (Province Du Luxembourg). Rapport Provisoire de La Première Campagne de Fouille.” Helinium XV (1975): 105–33.",NA,NA,NA,NA,NA,NA,NA,14
Snellegem Pond,Belgium,West-Vlaanderen,51.170315,3.129439,NA,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W,3,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,"Andronikov, A., D. S. Lauretta, Dmitry A. Subetto, C. Verbruggen, N. van der Putten, I. Andronikova, Tatiana Valentinovna Sapelko, and D. Drosenko. “Tale of Two Lakes: HR-ICP-MS Study of Late-Glacial Lake Sediments from the Snellegem Pond in Belgium and the Lake Medvedevskoye in NW Russia. In Search for Fingerprints of the Late Pleistocene Extraterrestrial Event.” In “Geomorphology and Paleogeography of Polar Regions”: Proceedings of the Joint Conference “Geomorphology and Quaternary Paleogeography of Polar Regions”, Symposium “Leopoldina” and the INQUA Peribaltic Working Group Workshop. Saint-Petersburg, SPbSU, 9-17 September 2012, edited by A. Zhirov, V. Kuznetsov, Dmitry A. Subetto, and J. Thiede, 402–5. Saint Petersburg: Saint Petersburg University, 2012.",NA,NA,NA,NA,NA,NA,NA,NA,15
Stará Jímka,Czech Republic,Bohemia,49.1072,13.3278,NA,Traces only,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1315,NA,S,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"Vondrak, D., G. Kletetschka, J. Hruba, L. Nabelek, V. Prochazka, H. Svitavska-Svobodova, P. Bobek, et al. “SEDIMENT OF A CENTRAL EUROPEAN MOUNTAIN LAKE IMPLIES AN EXTRATERRESTRIAL IMPACT AT THE YOUNGER DRYAS ONSET.” Meteoritics & Planetary Science 52, no. S1 (2017): A373.","Kletetschka, G., J. Hruba, L. Nabelek, Allen West, D. Vondrak, E. Stuchlik, J. Kadlec, and V. Prochazka. “MICROSPHERULES IN THE SEDIMENT FROM THE ONSET OF YOUNGER DRYAS: AIRBURST AND/OR VOLCANIC EXPLOSION.” Meteoritics & Planetary Science 52, no. S1 (2017): A169.",NA,NA,NA,NA,NA,NA,NA,16
Vallensgård Mose,Denmark,Bornholm,55.137222,14.913333,NA,0.1,0.1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,730,NA,NA,NE,1,Early Mesolithic only,1,NA,NA,1,NA,NA,1,NA,NA,Yes,NA,"Turney, Chris S. M., K. van den Burg, Stefan Wastegård, Siwan Davies, Nicki Whitehouse, Jonathan R. Pilcher, and C. Callaghan. “North European Last Glacial–Interglacial Transition (LGIT; 15–9 Ka) Tephrochronology: Extended Limits and New Events.” Journal of Quaternary Science 21, no. 4 (2006): 335–45. https://doi.org/10.1002/jqs.990.","Usinger, H. “Bölling-Interstadial Und Laacher Bimstuff in Einem Neuen Spätglazial-Profil Aus Dem Vallensgård Mose/Bornholm. Mit Pollengrößenstatistischer Trennung Der Birken.” Dansk Geologiske Undersøgelse 1977 (1977): 5–29.","Bogaard, Paul van den, and Hans-Ulrich Schmincke. “Laacher See Tephra: A Widespread Isochronous Late Quaternary Tephra Layer in Central and Northern Europe.” Geological Society of America Bulletin 96, no. 12 (1985): 1554–71. https://doi.org/10.1130/0016-7606(1985)96<1554:LSTAWI>2.0.CO;2.",NA,NA,NA,NA,NA,NA,17
Tøvelde,Denmark,Møn,54.970256,12.290923,NA,Traces only,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,no LST (Housley pers.comm.),"Noe-Nygaard, Nanna, Karen Louise Knudsen, and Michael Houmark-Nielsen. “Fra Istid Til Og Med Jægerstenalder.” In Naturen i Danmark. Geologien, edited by Kaj Sand-Jensen and Gunnar Larsen, 303–32. Copenhagen: Gyldendal, 2006.","Sørensen, Lasse. “The Laacher See Volcanic Eruption. Challenging the Idea of Cultural Disruption.” Acta Archaeologica 81, no. 1 (2010): 270–81. https://doi.org/10.1111/j.1600-0390.2010.00364.x.",NA,NA,NA,NA,NA,NA,18
Slotseng,Denmark,Sydjylland,55.329444,9.269167,SSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490-484,NE,1,Hamburgian (Havelte) and Federmessergruppen camps nearby,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Larsen, Jeppe Joel, and Nanna Noe-Nygaard. “Lateglacial and Early Holocene Tephrostratigraphy and Sedimentology of the Store Slotseng Basin, SW Denmark: A Multi-Proxy Study.” Boreas 43, no. 2 (2014): 349–61. https://doi.org/10.1111/bor.12040.",NA,NA,NA,NA,NA,NA,NA,NA,19
Virieux le Grand,France,Ain,45.863405,5.664756,Lambert 858.55/101.2,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,S,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Martini, J. “Recherches de Tetombées Volcanicques Quaternaires Dans Le S.E. de La France et La Suisse Occidentale.” Archives Des Sciences 23 (1971): 641–74.",NA,NA,NA,NA,NA,Update 4,NA,NA,20
Lac de Genin,France,Ain,46.220427,5.697589,NA,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,S,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Martini, J. “Recherches de Tetombées Volcanicques Quaternaires Dans Le S.E. de La France et La Suisse Occidentale.” Archives Des Sciences 23 (1971): 641–74.",NA,NA,NA,NA,NA,Update 4,NA,NA,21
Lac de Sewen,France,Alsace,47.811667,6.897222,SW2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,493,S,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,"Walter-Simonnet, A. V., G. Bossuet, A. L. Develle, C. Begeot, P. Ruffaldi, M. Magny, T. Adatte, et al. “Chronicle and distribution of lateglacial tephras in the Vosges and Jura mountains, and the Swiss Plateau.” Quaternaire 19, no. 2 (June 2008): 117–32.","Schloss, S. “Pollenanalytische Und Stratigraphische Untersuchungen Im Sewenee: Ein Beitrag Zur Spät- Und Post-Glazialen Vegetationsgeschichte Der Südvogesen.” Dissertationes Botanicae 52 (1979): 1–138.",NA,NA,NA,NA,NA,46 41 51,008 32 57,22
Marais de la Maxe,France,Alsace,48.455,7.1244440000000004,MM2,Traces only,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,656,458,S,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,Yes,NA,"Walter-Simonnet, A. V., G. Bossuet, A. L. Develle, C. Begeot, P. Ruffaldi, M. Magny, T. Adatte, et al. “Chronicle and distribution of lateglacial tephras in the Vosges and Jura mountains, and the Swiss Plateau.” Quaternaire 19, no. 2 (June 2008): 117–32.",NA,NA,NA,NA,NA,NA,NA,NA,23
Grande Pile,France,Alsace,47.733333,6.666667,NA,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,S,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.",NA,NA,NA,NA,NA,NA,NA,NA,24
Juvigne_1991.1,France,Bourgogne,47.2903845908,3.09965164601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,25
Juvigne_1991.2,France,Bourgogne,47.1681760813,4.36617620137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,26
Juvigne_1991.5,France,Bourgogne,46.5571335328,5.3493992108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,27
Juvigne_1991.21,France,Bourgogne,47.5348016107,5.36050907563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,28
Juvigne_1991.22,France,Bourgogne,47.4125931003,5.08276246302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,29
Juvigne_1991.23,France,Bourgogne,47.6236805266,5.17719631136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,30
Juvigne_1991.37,France,Bourgogne,47.9403116653,4.6105932204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,31
Juvigne_1991.38,France,Bourgogne,47.6236805266,4.5328241693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,32
Juvigne_1991.39,France,Bourgogne,47.4625874911,4.57726362681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,33
Juvigne_1991.40,France,Bourgogne,47.3625987104,4.5328241693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,34
Juvigne_1991.41,France,Bourgogne,47.1404014201,4.49949457571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,35
Juvigne_1991.42,France,Bourgogne,47.1459563525,4.83834544309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Juvigné, Etienne H. “Distribution of Widespread Postglacial Tephra Sheets from the Eifel and the Central-Massif in Ne France and Neighboring Regions.” Comptes Rendus De l’Academie Des Sciences Serie II 312, no. 4 (February 1991): 415–20.","Juvigné, Etienne H. “La Zone de Dispersion Des Poussières Émises Par Une Des Dernières Éruptions Du Volcan Du Laachersee (Eifel).” Zeitschrift Für Geomorphologie N.F. 21, no. 3 (1977): 323–42.",NA,NA,NA,NA,Update 7,NA,NA,36
